run,model,micro_f1,AIT
1,Ælæctra_cased,0.8807189542483660,72.62
2,Ælæctra_cased,0.8762844225236330,72.62
3,Ælæctra_cased,0.8749480681346070,72.62
4,Ælæctra_cased,0.8625106746370620,72.62
5,Ælæctra_cased,0.8848080133555930,72.62
1,Ælæctra_uncased,0.8943993159469860,74.01
2,Ælæctra_uncased,0.8737351517817860,74.01
3,Ælæctra_uncased,0.8850174216027880,74.01
4,Ælæctra_uncased,0.8891774891774890,74.01
5,Ælæctra_uncased,0.8757549611734250,74.01
1,danish_BERT,0.883419689119171,232.85
2,danish_BERT,0.9052721817402490,232.85
3,danish_BERT,0.901541095890411,232.85
4,danish_BERT,0.8995215311004780,232.85
5,danish_BERT,0.827952233524989,232.85
1,multi_BERT_cased,0.8590710599444220,304.02
2,multi_BERT_cased,0.8951644100580270,304.02
3,multi_BERT_cased,0.8988341481760060,304.02
4,multi_BERT_cased,0.8697332817935830,304.02
5,multi_BERT_cased,0.871405750798722,304.02
1,multi_BERT_uncased,0.8441558441558440,278.39
2,multi_BERT_uncased,0.8694201084689200,278.39
3,multi_BERT_uncased,0.8520102651839180,278.39
4,multi_BERT_uncased,0.8796680497925310,278.39
5,multi_BERT_uncased,0.864,278.39
