run,model,micro_f1,AIT
1,Ælæctra_cased,0.8000000000000000,10.92
2,Ælæctra_cased,0.8000000000000000,10.92
3,Ælæctra_cased,0.8001651527663090,10.92
4,Ælæctra_cased,0.8052696582955950,10.92
5,Ælæctra_cased,0.798494983277592,10.92
1,Ælæctra_uncased,0.7946345975948200,10.91
2,Ælæctra_uncased,0.7716105550500460,10.91
3,Ælæctra_uncased,0.7931354359925790,10.91
4,Ælæctra_uncased,0.7668628338614760,10.91
5,Ælæctra_uncased,0.7752148349163270,10.91
1,danish_BERT,0.8477964561562930,43.03
2,danish_BERT,0.8528501988510830,43.03
3,danish_BERT,0.8382084095063990,43.03
4,danish_BERT,0.8528501988510830,43.03
5,danish_BERT,0.8528501988510830,43.03
1,multi_BERT_cased,0.85,70.56
2,multi_BERT_cased,0.8262874711760180,70.56
3,multi_BERT_cased,0.8435839028094150,70.56
4,multi_BERT_cased,0.8345481049562680,70.56
5,multi_BERT_cased,0.8350824587706150,70.56
1,multi_BERT_uncased,0.8146321413892320,72.10
2,multi_BERT_uncased,0.7955271565495210,72.10
3,multi_BERT_uncased,0.8011294876966520,72.10
4,multi_BERT_uncased,0.7993211709800590,72.10
5,multi_BERT_uncased,0.8112058465286240,72.10
